Test,Run,Clock Cycles 
1,1,31.69 
1,2,26.84 
1,3,35.25 
1,4,25.38 
1,5,32.00 
1,6,29.78 
1,7,27.59 
1,8,48.91 
1,9,84.69 
1,10,34.72 
1,11,33.34 
1,12,45.41 
1,13,37.38 
1,14,60.38 
1,15,44.25 
1,16,27.31 
1,17,43.22 
1,18,37.84 
1,19,27.59 
1,20,59.47 
1,21,68.09 
1,22,47.31 
1,23,32.78 
1,24,39.66 
1,25,39.06 
1,26,32.94 
1,27,43.31 
1,28,32.41 
1,29,39.56 
1,30,29.06 
1,31,40.25 
1,32,59.47 
1,33,29.94 
1,34,43.59 
1,35,46.19 
1,36,36.53 
1,37,31.91 
1,38,35.34 
1,39,32.63 
1,40,60.56 
1,41,126.19 
1,42,32.94 
1,43,40.19 
1,44,37.22 
1,45,41.00 
1,46,40.13 
1,47,35.50 
1,48,36.16 
1,49,41.81 
1,50,44.00 
1,51,57.63 
1,52,40.41 
1,53,36.81 
1,54,43.06 
1,55,59.88 
1,56,46.34 
1,57,51.31 
1,58,30.44 
1,59,35.75 
1,60,136.00 
1,61,34.38 
1,62,31.78 
1,63,30.91 
1,64,42.13 
1,65,33.97 
1,66,33.34 
1,67,39.19 
1,68,42.72 
1,69,29.59 
1,70,38.78 
1,71,49.13 
1,72,38.78 
1,73,43.91 
1,74,34.91 
1,75,40.22 
1,76,32.63 
1,77,40.72 
1,78,40.47 
1,79,41.72 
1,80,37.59 
1,81,83.09 
1,82,33.31 
1,83,31.34 
1,84,93.31 
1,85,42.44 
1,86,31.06 
1,87,36.38 
1,88,46.44 
1,89,36.75 
1,90,29.94 
1,91,51.91 
1,92,35.28 
1,93,36.13 
1,94,37.13 
1,95,30.31 
1,96,107.44 
1,97,52.94 
1,98,39.31 
1,99,53.81 
1,100,30.41 
2,1,10.24 
2,2,10.78 
2,3,12.08 
2,4,12.83 
2,5,12.90 
2,6,14.16 
2,7,16.65 
2,8,10.87 
2,9,20.25 
2,10,40.35 
2,11,14.16 
2,12,23.06 
2,13,15.91 
2,14,10.40 
2,15,36.33 
2,16,13.78 
2,17,12.60 
2,18,11.40 
2,19,70.30 
2,20,13.50 
2,21,12.85 
2,22,13.96 
2,23,11.16 
2,24,12.51 
2,25,15.44 
2,26,12.00 
2,27,9.94 
2,28,18.25 
2,29,11.41 
2,30,28.47 
2,31,10.91 
2,32,12.65 
2,33,14.89 
2,34,12.10 
2,35,11.84 
2,36,13.93 
2,37,17.78 
2,38,11.95 
2,39,14.07 
2,40,11.18 
2,41,15.99 
2,42,9.94 
2,43,10.78 
2,44,12.27 
2,45,13.25 
2,46,14.11 
2,47,11.81 
2,48,19.42 
2,49,13.01 
2,50,11.39 
2,51,64.26 
2,52,12.04 
2,53,19.02 
2,54,18.48 
2,55,11.55 
2,56,17.15 
2,57,19.40 
2,58,17.77 
2,59,24.50 
2,60,12.02 
2,61,14.48 
2,62,71.63 
2,63,14.90 
2,64,21.41 
2,65,16.46 
2,66,16.55 
2,67,11.53 
2,68,11.58 
2,69,20.01 
