Test,Run,Clock Cycles 
1,1,294.25 
1,2,318.00 
1,3,180.25 
1,4,248.00 
1,5,288.50 
1,6,130.50 
1,7,139.00 
1,8,132.25 
1,9,218.00 
1,10,281.75 
1,11,161.00 
1,12,135.00 
1,13,309.00 
1,14,198.00 
1,15,269.25 
1,16,169.25 
1,17,135.25 
1,18,273.25 
1,19,275.75 
1,20,295.25 
1,21,290.25 
1,22,346.50 
1,23,303.50 
1,24,284.00 
1,25,289.50 
1,26,346.25 
1,27,123.25 
1,28,125.75 
1,29,162.75 
1,30,265.75 
1,31,280.25 
1,32,270.25 
1,33,289.00 
1,34,132.00 
1,35,180.75 
1,36,367.00 
1,37,247.25 
1,38,719.00 
1,39,272.50 
1,40,171.75 
1,41,184.00 
1,42,393.50 
1,43,178.25 
1,44,256.00 
1,45,145.00 
1,46,237.75 
1,47,279.00 
1,48,307.00 
1,49,211.75 
1,50,259.50 
1,51,223.00 
1,52,197.00 
1,53,238.50 
1,54,141.50 
1,55,240.75 
1,56,216.50 
1,57,195.25 
1,58,317.25 
1,59,205.75 
1,60,286.00 
1,61,198.75 
1,62,213.00 
1,63,259.00 
1,64,338.75 
1,65,230.50 
1,66,209.75 
1,67,286.50 
1,68,233.50 
1,69,171.25 
1,70,185.25 
1,71,136.75 
1,72,193.50 
1,73,159.75 
1,74,225.75 
1,75,237.75 
1,76,201.75 
1,77,269.25 
1,78,174.50 
1,79,185.25 
1,80,166.00 
1,81,218.00 
1,82,385.75 
1,83,258.50 
1,84,211.25 
1,85,253.75 
1,86,137.75 
1,87,167.75 
1,88,262.75 
1,89,227.25 
1,90,140.25 
1,91,215.50 
1,92,135.50 
1,93,238.00 
1,94,290.50 
1,95,263.00 
1,96,183.00 
1,97,726.00 
1,98,228.00 
1,99,209.50 
1,100,181.75 
2,1,12.44 
2,2,21.38 
2,3,19.69 
2,4,45.53 
2,5,24.81 
2,6,16.44 
2,7,26.63 
2,8,18.19 
2,9,21.53 
2,10,11.03 
2,11,21.16 
2,12,24.84 
2,13,15.19 
2,14,23.28 
2,15,11.72 
2,16,21.66 
2,17,16.38 
2,18,13.16 
2,19,24.88 
2,20,17.78 
2,21,10.38 
2,22,23.59 
2,23,24.72 
2,24,31.41 
2,25,13.13 
2,26,20.47 
2,27,121.13 
2,28,22.22 
2,29,15.38 
2,30,13.00 
2,31,48.50 
2,32,18.59 
2,33,25.25 
2,34,48.13 
2,35,117.06 
2,36,20.84 
2,37,21.31 
2,38,24.09 
2,39,21.59 
2,40,12.44 
2,41,17.06 
2,42,23.25 
2,43,21.13 
2,44,20.13 
2,45,15.72 
2,46,25.84 
2,47,13.75 
2,48,19.13 
2,49,12.19 
2,50,18.53 
2,51,20.50 
2,52,15.81 
2,53,16.31 
2,54,11.81 
2,55,21.38 
2,56,14.44 
2,57,14.56 
2,58,25.81 
2,59,24.13 
2,60,11.19 
2,61,11.91 
2,62,17.91 
2,63,18.16 
2,64,23.47 
2,65,28.84 
2,66,12.34 
2,67,14.84 
2,68,10.63 
2,69,14.56 
2,70,19.66 
2,71,40.41 
2,72,11.84 
2,73,28.47 
2,74,28.63 
2,75,26.50 
2,76,24.84 
2,77,21.28 
2,78,19.59 
2,79,11.44 
2,80,21.81 
2,81,47.50 
2,82,12.69 
2,83,21.09 
2,84,16.91 
2,85,14.88 
2,86,19.81 
2,87,12.00 
2,88,13.13 
2,89,27.28 
2,90,15.47 
2,91,17.97 
2,92,23.19 
2,93,12.31 
2,94,28.44 
2,95,20.16 
